시도교육청코드,시도교육청명,행정표준코드,학교명,영문학교명,학교종류명,시도명,관할조직명,설립명,도로명우편번호,도로명주소,도로명상세주소,전화번호,홈페이지주소,남녀공학구분명,팩스번호,고등학교구분명,산업체특별학급존재여부,고등학교일반전문구분명,특수목적고등학교계열명,입시전후기구분명,주야구분명,설립일자,개교기념일,수정일자
B10,서울특별시교육청,7041167,경인중학교,Kyeongin Middle School,중학교,서울특별시,서울특별시남부교육지원청,공립,08238 ,서울특별시 구로구 경인로 301,(개봉동),02-2612-3471,kyeongin.sen.ms.kr,남여공학,02-2616-0649, ,N,일반계, ,전기,주간,19691111,19691111,20230615000000
B10,서울특별시교육청,7134121,경일중학교,Kyungil Middle School,중학교,서울특별시,서울특별시성동광진교육지원청,공립,04779 ,서울특별시 성동구 성수일로 27,(성수동1가),02-468-0651,http://kyungil.ms.kr,남여공학,02-468-2766, ,N,해당없음, ,전기,주간,20031230,20040506,20230615000000
B10,서울특별시교육청,7021122,경희여자중학교,Kyunghee Girls’ Middle School,중학교,서울특별시,서울특별시동부교육지원청,사립,02447 ,서울특별시 동대문구 경희대로 26,(회기동),02-2250-8888,http://kyungheegls.sen.ms.kr,여,02-965-5998, ,N,일반계, ,전기,주간,19600209,19600518,20230615000000
B10,서울특별시교육청,7021123,경희중학교,Kyunghee Middle School,중학교,서울특별시,서울특별시동부교육지원청,사립,02447 ,서울특별시 동대문구 경희대로 26,/ 경희중학교 (회기동),02-966-6402,http://www.kyunghee.ms.kr,남,02-962-3644, ,N,일반계, ,전기,주간,19591212,19600415,20230615000000
B10,서울특별시교육청,7130171,고덕중학교,Godeok Middle School,중학교,서울특별시,서울특별시강동송파교육지원청,공립,05225 ,서울특별시 강동구 동남로82길 94,(고덕동),02-2045-6000,http://www.godeok.ms.kr,남여공학,02-2045-6097, ,N,일반계, ,전기,주간,19841130,19841130,20230615000000
B10,서울특별시교육청,7121358,고려대학교사범대학부속중학교,Korea University Middle School,중학교,서울특별시,서울특별시성북강북교육지원청,사립,02708 ,서울특별시 성북구 정릉로 161,(정릉동/고려대학교사범대학부속중학교),02-914-8853,http://www.koryo.ms.kr,남여공학,02-942-5626, ,N,일반계, ,전기,주간,19680311,19680311,20230615000000
B10,서울특별시교육청,7121359,고명중학교,Komyung Middle School,중학교,서울특별시,서울특별시성북강북교육지원청,사립,02828 ,서울특별시 성북구 북악산로 870,(돈암동/고명중학교),02-926-2837,http://komyung.sen.ms.kr,남,02-921-8443, ,N,일반계, ,전기,주간,19550315,19550520,20230615000000
B10,서울특별시교육청,7041168,고척중학교,Gocheok Middle School,중학교,서울특별시,서울특별시남부교육지원청,공립,08225 ,서울특별시 구로구 중앙로3길 20,/ 고척중학교 (고척동),02-6917-7101,http://www.gocheok.ms.kr,남여공학,02-2615-9386, ,N,일반계, ,전기,주간,19841208,19850506,20230615000000
B10,서울특별시교육청,7051174,공릉중학교,Kongrung Middle School,중학교,서울특별시,서울특별시북부교육지원청,공립,01823 ,서울특별시 노원구 노원로1길 42,(공릉동/공릉중학교),02-971-5212,http://kongrung.sen.ms.kr,남여공학,02-948-2717, ,N,일반계, ,전기,주간,19841208,19850430,20230615000000
B10,서울특별시교육청,7081487,공항중학교,Gonghang Middle School,중학교,서울특별시,서울특별시강서양천교육지원청,공립,07618 ,서울특별시 강서구 방화대로 241,(공항동/공항중학교),02-2662-0471,http://gonghang.ms.kr,남여공학,02-2667-0739, ,N,일반계, ,전기,주간,19550428,19550428,20230615000000
B10,서울특별시교육청,7132125,관악중학교,Gwanak Middle School,중학교,서울특별시,서울특별시동작관악교육지원청,공립,08741 ,서울특별시 관악구 남부순환로237길 60,/ 관악중학교 (봉천동),02-889-1782,http://www.gwanak.ms.kr,남여공학,02-872-6335, ,N,일반계, ,전기,주간,19810225,19820501,20230615000000
B10,서울특별시교육청,7134122,광남중학교,Gwangnam Middle School,중학교,서울특별시,서울특별시성동광진교육지원청,공립,04973 ,서울특별시 광진구 아차산로70길 17-62,/ 광남중학교 (광장동),02-456-8792,http://www.gwangnam.ms.kr,남여공학,02-455-0161/453-2818, ,N,일반계, ,전기,주간,19930116,19930504,20230615000000
B10,서울특별시교육청,7031180,광성중학교,Kwangsung Middle School,중학교,서울특별시,서울특별시서부교육지원청,사립,04097 ,서울 마포구 신수로8길 20,(신수동/광성중고등학교),02-703-3456,http://www.kwangsung.ms.kr,남,02-3273-5120, ,N,일반계, ,전기,주간,18940406,18940406,20230615000000
B10,서울특별시교육청,7132126,광신중학교,Kwangshin Middle School,중학교,서울특별시,서울특별시동작관악교육지원청,사립,08847 ,서울특별시 관악구 광신길 141,/ 광신중학교 (신림동),02-881-8652,http://www.kwangshin.ms.kr,남여공학,02-887-3075, ,N,일반계, ,전기,주간,19511010,19511010,20230615000000
B10,서울특별시교육청,7134123,광양중학교,Kwangyang Middle School,중학교,서울특별시,서울특별시성동광진교육지원청,공립,05104 ,서울특별시 광진구 자양로3길 7,(자양동),02-452-6922,http://kwangyang.sen.ms.kr,남여공학,02-452-6923, ,N,일반계, ,전기,주간,19860129,19860418,20230615000000
B10,서울특별시교육청,7051175,광운중학교,Kwangwoon Middle school,중학교,서울특별시,서울특별시북부교육지원청,사립,01890 ,서울특별시 노원구 광운로1길 24,(월계동/광운중학교),02-942-2293,http://www.kwangwoon.ms.kr,남,02-942-2373, ,N,일반계, ,전기,주간,19641207,19650520,20230615000000
B10,서울특별시교육청,7134124,광장중학교,Gwangjang Middle School,중학교,서울특별시,서울특별시성동광진교육지원청,공립,04966 ,서울특별시 광진구 광장로1길 1,/ 광장중학교 (광장동),02-452-0745,http://www.gwangjang.ms.kr,남여공학,02-444-5692, ,N,일반계, ,전기,주간,19821209,19830406,20230615000000
B10,서울특별시교육청,7134125,광진중학교,Gwangjin Middle School,중학교,서울특별시,서울특별시성동광진교육지원청,공립,05114 ,서울특별시 광진구 뚝섬로64길 45,(자양동/광진중학교),02-447-2886,http://gwangjin.ms.kr,남여공학,02-3436-1508, ,N,일반계, ,전기,주간,19790901,19791010,20230615000000
B10,서울특별시교육청,7134126,광희중학교,Kwanghee Middle School,중학교,서울특별시,서울특별시성동광진교육지원청,공립,04742 ,서울특별시 성동구 독서당로62길 46,/ 광희중학교 (응봉동),02-2298-0250,http://www.kwanghee.ms.kr,남여공학,02-2298-0252, ,N,일반계, ,전기,주간,19370521,19370521,20230615000000
B10,서울특별시교육청,7041169,구로중학교,Guro Middle School,중학교,서울특별시,서울특별시남부교육지원청,공립,08303 ,서울특별시 구로구 구로중앙로 48,(구로동),02-864-4233,http://www.guro.ms.kr,남여공학,02-851-9604, ,N,일반계, ,전기,주간,19780105,19780105,20230615000000
B10,서울특별시교육청,7091423,구룡중학교,Guryoung Middle School,중학교,서울특별시,서울특별시강남서초교육지원청,공립,06318 ,서울특별시 강남구 선릉로 103,(개포동/구룡중학교),02-577-3708,http://gury.sen.ms.kr/,남여공학,02-577-3704, ,N,일반계, ,전기,주간,19881224,19890418,20230615000000
B10,서울특별시교육청,7031181,구산중학교,Gusan Middle School,중학교,서울특별시,서울특별시서부교육지원청,공립,03429 ,서울특별시 은평구 갈현로15길 20-23,(구산동/구산중학교),02-389-8785,http://gusanjung.ms.kr,남여공학,02-385-3098, ,N,일반계, ,전기,주간,19811209,19830419,20230624000000
B10,서울특별시교육청,7132127,구암중학교,Guahm Middle School,중학교,서울특별시,서울특별시동작관악교육지원청,공립,08723 ,서울특별시 관악구 성현로 53,(봉천동),02-881-2900,http://www.guahm.ms.kr/,남여공학,02-885-6757, ,N,해당없음, ,전기,주간,20040301,20040607,20230615000000
B10,서울특별시교육청,7134127,구의중학교,Guui Middle School,중학교,서울특별시,서울특별시성동광진교육지원청,공립,05022 ,서울특별시 광진구 광나루로30길 80,(화양동),02-447-4798,http://www.guui.ms.kr,남여공학,02-455-5061, ,N,일반계, ,전기,주간,19840430,19840430,20230615000000
B10,서울특별시교육청,7041170,구일중학교,Guil Middle School,중학교,서울특별시,서울특별시남부교육지원청,공립,08324 ,서울특별시 구로구 구일로 90-133,(구로동),02-2107-9104,http://kuil.ms.kr,남여공학,02-837-1898, ,N,일반계, ,전기,주간,19900120,19900120,20230615000000
B10,서울특별시교육청,1371662,국립국악중학교,Gukak National Middle School,각종학교(중),서울특별시,교육부,국립,06311 ,서울특별시 강남구 개포로22길 65,/ 국립국악중고등학교 (개포동),02-3460-0500,http://gugak.sen.ms.kr,남여공학,02-579-6013, ,N,일반계, ,전기,주간,19550401,19910301,20230709000000
B10,서울특별시교육청,1371664,국립전통예술중학교,National Middle School of Traditional Korean Arts,각종학교(중),서울특별시,교육부,국립,08650 ,서울특별시 금천구 시흥대로38길 62,(시흥동),02-896-1094,http://kugak-am.ms.kr,남여공학,02-896-2044, ,N,해당없음, ,전기,주간,19600310,19600513,20230709000000
B10,서울특별시교육청,7132128,국사봉중학교,Kuksabong Middle School,중학교,서울특별시,서울특별시동작관악교육지원청,공립,07038 ,서울특별시 동작구 양녕로20길 20,/ 국사봉중학교 (상도동),02-823-8715,http://www.kuksabong.ms.kr,남여공학,02-823-7531, ,N,일반계, ,전기,주간,19860119,19860423,20230615000000
B10,서울특별시교육청,7081488,금옥중학교,Geumok Middle School,중학교,서울특별시,서울특별시강서양천교육지원청,공립,08080 ,서울특별시 양천구 신정로 213,/ 금옥중학교 (신정동),02-2696-1202,geumok.sen.ms.kr,남여공학,02-2698-1339, ,N,일반계, ,전기,주간,19810301,19810502,20230615000000
B10,서울특별시교육청,7061095,금호여자중학교,Kumho Girls Middle School,중학교,서울특별시,서울특별시중부교육지원청,공립,04587 ,서울특별시 중구 청구로 6,/ 금호여자중학교 본관동(주1) (신당동),070-4050-5660,http://kumho.sen.ms.kr,여,070-4050-5645, ,N,일반계, ,전기,주간,19680806,19680806,20230615000000
B10,서울특별시교육청,7121357,길음중학교,Gireum Middle School,중학교,서울특별시,서울특별시성북강북교육지원청,공립,02723 ,서울특별시 성북구 길음로 144 ,/ 길음중학교 (길음동),02-910-8770,http://www.gireum.ms.kr,남여공학,02-910-8769, ,N,해당없음, ,전기,주간,20120301,20120301,20230615000000
B10,서울특별시교육청,7041171,난곡중학교,Nangok Middle School,중학교,서울특별시,서울특별시남부교육지원청,공립,08549 ,서울특별시 금천구 문성로 67,(독산동),02-2283-5200,http://nangok.sen.ms.kr,남여공학,02-859-2141, ,N,일반계, ,전기,주간,19800124,19800506,20230615000000
B10,서울특별시교육청,7132129,난우중학교,Nanwoo Middle School,중학교,서울특별시,서울특별시동작관악교육지원청,공립,08857 ,서울특별시 관악구 난곡로16길 32,/ 난우중학교 (신림동),02-864-4017,http://www.nanwoo.ms.kr,남여공학,02-867-6253, ,N,일반계, ,전기,주간,19840423,19840423,20230615000000
B10,서울특별시교육청,7132130,남강중학교,Namkang Middle School,중학교,서울특별시,서울특별시동작관악교육지원청,사립,08854 ,서울특별시 관악구 난곡로34길 80,(신림동/남강중고등학교),02-839-1709,http://www.namkang.ms.kr,남,02-839-1712, ,N,일반계, ,전기,주간,19710130,19710329,20230615000000
B10,서울특별시교육청,7121360,남대문중학교,Namdaemun Middle School,중학교,서울특별시,서울특별시성북강북교육지원청,사립,02763 ,서울특별시 성북구 한천로 660-30,(장위동/ 남대문중학교),02-942-3184,http://namdaemoon.sen.ms.kr,남,02-942-3185, ,N,일반계, ,전기,주간,19340520,19340520,20230615000000
B10,서울특별시교육청,7132131,남서울중학교,Namseoul Middle School,중학교,서울특별시,서울특별시동작관악교육지원청,공립,08773 ,서울특별시 관악구 남부순환로172길 97,/ 남서울중학교 (신림동),02-855-9832,http://namseoul.sen.ms.kr,남여공학,02-851-0637, ,N,일반계, ,전기,주간,19641112,19641112,20230615000000
B10,서울특별시교육청,7132132,남성중학교,Namsung Middle School,중학교,서울특별시,서울특별시동작관악교육지원청,공립,07022 ,서울특별시 동작구 남부순환로269길 166,(사당동/남성중학교),02-520-7500,http://www.namsung.ms.kr,남여공학,02-520-7589, ,N,일반계, ,전기,주간,19821209,19830429,20230615000000
B10,서울특별시교육청,7091486,내곡중학교,NAEGOK MIDDLE SCHOOL,중학교,서울특별시,서울특별시강남서초교육지원청,공립,06799 ,서울특별시 서초구 청계산로7길 9-20,(신원동),02-571-9532,https://naegok.sen.ms.kr,남여공학,02-571-9533, ,N,해당없음, ,후기,주간,20180208,20180501,20230615000000
B10,서울특별시교육청,7051176,노곡중학교,Nogok Middle School,중학교,서울특별시,서울특별시북부교육지원청,공립,01419 ,서울특별시 도봉구 노해로70길 95,(창동/노곡중학교),02-996-5232,http://www.nogok.ms.kr,남여공학,02-996-5260, ,N,일반계, ,전기,주간,19881219,19890506,20230615000000
B10,서울특별시교육청,7051177,노원중학교,Nowon Middle School,중학교,서울특별시,서울특별시북부교육지원청,공립,01764 ,서울특별시 노원구 동일로213길 26,(상계동/노원중학교),02-3391-6921,http://nowon.sen.ms.kr,남여공학,02-934-9953, ,N,일반계, ,전기,주간,19881224,19890504,20230615000000
B10,서울특별시교육청,7051178,노일중학교,Noil Middle School,중학교,서울특별시,서울특별시북부교육지원청,공립,01613 ,서울특별시 노원구 동일로231길 24,/ 노일중학교 (상계동),02-3391-0092,http://noil.sen.ms.kr,남여공학,02-938-9951, ,N,일반계, ,전기,주간,19950301,19950504,20230615000000
B10,서울특별시교육청,7051179,녹천중학교,Nokcheon Middle School,중학교,서울특별시,서울특별시북부교육지원청,공립,01905 ,서울특별시 노원구 월계로 376,(월계동),02-978-4592,http://www.nokcheon.ms.kr,남여공학,02-978-4594, ,N,일반계, ,전기,주간,19950110,19950506,20230615000000
B10,서울특별시교육청,7091449,단국대학교사범대학부속중학교,DANKOOK UNIVERSITY MIDDLE SCHOOL,중학교,서울특별시,서울특별시강남서초교육지원청,사립,06278 ,서울특별시 강남구 도곡로64길 21,(대치동),02-2191-2600,http://www.dankook.ms.kr/,남,02-557-6837, ,N,일반계, ,전기,주간,19410525,19471103,20230615000000
B10,서울특별시교육청,7132133,당곡중학교,Dang-gok Middle School,중학교,서울특별시,서울특별시동작관악교육지원청,공립,08711 ,서울특별시 관악구 봉천로13길 101,/ 당곡중학교 (봉천동),02-870-7700,http://www.danggok.ms.kr,남여공학,02-871-9146, ,N,일반계, ,전기,주간,19821209,19830509,20230615000000
B10,서울특별시교육청,7041172,당산서중학교,Dangsanseo Middle School,중학교,서울특별시,서울특별시남부교육지원청,공립,07213 ,서울특별시 영등포구 당산로41길 12,(당산동5가/당산서중학교),02-2676-0962,http://dangsanseo.sen.ms.kr,남여공학,02-2632-5436, ,N,일반계, ,전기,주간,19821209,19821209,20230615000000
B10,서울특별시교육청,7041173,당산중학교,Dangsan Middle School,중학교,서울특별시,서울특별시남부교육지원청,공립,07224 ,서울특별시 영등포구 버드나루로 160,(당산동),02-2177-9900,http://dangsan.ms.kr,남여공학,02-2177-9911, ,N,일반계, ,전기,주간,19680806,19681002,20230615000000
B10,서울특별시교육청,7061096,대경중학교,Daekyeong Middle School,중학교,서울특별시,서울특별시중부교육지원청,사립,04592 ,서울특별시 중구 매봉18길 111,(신당동),02-2235-5158,https://dk.sen.ms.kr,남여공학,02-2236-9146, ,N,일반계, ,전기,주간,19560228,19560416,20230615000000
B10,서울특별시교육청,7021124,대광중학교,Daegwang Middle School,중학교,서울특별시,서울특별시동부교육지원청,사립,02581 ,서울특별시 동대문구 안암로 6,(신설동),02-940-2206,http://www.dgm.ms.kr,남여공학,02-925-2975, ,N,일반계, ,전기,주간,19471125,19471025,20230615000000
B10,서울특별시교육청,7041174,대림중학교,Daerim Middle School,중학교,서울특별시,서울특별시남부교육지원청,공립,07442 ,서울특별시 영등포구 시흥대로185길 6,(대림동/대림중학교),02-845-2171,http://www.daerim.ms.kr,남여공학,02-845-8478, ,N,일반계, ,전기,주간,19840109,19840419,20230615000000
B10,서울특별시교육청,7091424,대명중학교,Daemyeong Middle School,중학교,서울특별시,서울특별시강남서초교육지원청,공립,06183 ,서울특별시 강남구 역삼로87길 26,(대치동/ 대명중학교),02-563-3701,http://www.daemyeong.ms.kr,남여공학,02-565-3404, ,N,일반계, ,전기,주간,19900120,19900501,20230615000000
B10,서울특별시교육청,7132134,대방중학교,Daebang Middle School,중학교,서울특별시,서울특별시동작관악교육지원청,공립,07064 ,서울특별시 동작구 여의대방로10길 24,(신대방동/ 대방중학교),02-831-2502,http://daebang.sen.ms.kr,남여공학,02-848-7340, ,N,일반계, ,전기,주간,19720901,19720901,20230615000000
B10,서울특별시교육청,7031182,대성중학교,Daeseong Middle School,중학교,서울특별시,서울특별시서부교육지원청,사립,03322 ,서울특별시 은평구 갈현로29길 51-24,/ 대성중학교 (갈현동),02-6252-1100,https://dsms.sen.ms.kr,남,02-386-2534, ,N,일반계, ,전기,주간,19690115,19690115,20230615000000
B10,서울특별시교육청,7061097,대신중학교,Daeshin Middle School,중학교,서울특별시,서울특별시중부교육지원청,사립,03029 ,서울특별시 종로구 사직로 9,(행촌동),02-736-0318,http://dae-shin.sen.ms.kr,남,070-8668-1995, ,N,일반계, ,전기,주간,19380405,19380405,20230615000000
B10,서울특별시교육청,7041175,대영중학교,Daeyeong Middle School,중학교,서울특별시,서울특별시남부교육지원청,공립,07397 ,서울특별시 영등포구 도림로80가길 14,(신길동/대영중학교),02-848-7781,http://daeyoung.ms.kr,남여공학,02-831-5270, ,N,일반계, ,전기,주간,19880202,19880502,20230615000000
B10,서울특별시교육청,7091425,대왕중학교,Daewang Middle School,중학교,서울특별시,서울특별시강남서초교육지원청,공립,06362 ,서울특별시 강남구 광평로20길 7,(수서동/ 대왕중학교),02-2226-2646,http://www.daewang.ms.kr,남여공학,02-2226-2640, ,N,일반계, ,전기,주간,19940105,19940506,20230615000000
B10,서울특별시교육청,7134130,대원국제중학교,Daewon International Middle School,중학교,서울특별시,서울특별시성동광진교육지원청,사립,04939 ,서울특별시 광진구 용마산로22길 26,/ 대원국제중학교 (중곡동),02-2204-1592,http://daewon.ms.kr,남여공학,02-2204-1583, ,N,일반계, ,전기,주간,19770520,19770520,20230615000000
B10,서울특별시교육청,7091426,대청중학교,Daecheong Middle School,중학교,서울특별시,서울특별시강남서초교육지원청,공립,06289 ,서울특별시 강남구 양재천로 321,(대치동/ 대청중학교),02-553-9830,http://daecheong.sen.ms.kr,남여공학,02-561-6224, ,N,일반계, ,전기,주간,19870506,19870506,20230615000000
B10,서울특별시교육청,7091427,대치중학교,Daechi Middle School,중학교,서울특별시,서울특별시강남서초교육지원청,공립,06299 ,서울특별시 강남구 남부순환로378길 39,(도곡동/대치중학교),02-572-9781,http://daechi.sen.ms.kr,남여공학,02-579-7315, ,N,일반계, ,전기,주간,19860129,19860129,20230615000000
B10,서울특별시교육청,7031183,덕산중학교,Duksan Middle School,중학교,서울특별시,서울특별시서부교육지원청,공립,03433 ,서울특별시 은평구 가좌로 400,(신사동),02-3146-7200,http://www.duksan.ms.kr,남여공학,02-3146-7210, ,N,일반계, ,전기,주간,19880202,19880419,20230615000000
B10,서울특별시교육청,7061098,덕성여자중학교,Duksung Girls’ Middle School,중학교,서울특별시,서울특별시중부교육지원청,사립,03062 ,서울특별시 종로구 율곡로3길 49,(송현동),02-733-4807,http://duksung.ms.kr,여,02-720-0972, ,N,일반계, ,전기,주간,19200419,19461001,20230615000000
B10,서울특별시교육청,7061099,덕수중학교,Ducksu Middle School,중학교,서울특별시,서울특별시중부교육지원청,공립,04548 ,서울 중구 마른내로9길 10,(인현동2가/덕수중학교),02-2265-9063,http://www.ducksu.ms.kr,남여공학,02-2269-2742, ,N,일반계, ,전기,주간,19100413,19100413,20230615000000
